# set-167-bprime — pin recette (priorityRank<=167, figé 2026-08-02). Généré par scripts/build-set-167-bprime-cohort.mjs depuis work/coverage/cohort-slugs-canonical.json (contract cohort-slugs-canonical/v1). slug = forme plate (clé servie qc-zoning-events-<slug>, axe audit/inventaire, InventorySchema) ; graph_city_slug = forme canonique double-tiret (clé S3 graph/, axe recall-gate). NE PAS éditer à la main — relancer le générateur.
slug	graph_city_slug
saint-jean-baptiste	saint-jean-baptiste
pincourt	pincourt
calixa-lavallee	calixa-lavallee
lile-cadieux	lile-cadieux
pointe-des-cascades	pointe-des-cascades
saint-charles-sur-richelieu	saint-charles-sur-richelieu
napierville	napierville
vaudreuil-sur-le-lac	vaudreuil-sur-le-lac
saint-blaise-sur-richelieu	saint-blaise-sur-richelieu
mont-saint-gregoire	mont-saint-gregoire
sainte-madeleine	sainte-madeleine
saint-cyprien-de-napierville	saint-cyprien-de-napierville
saint-patrice-de-sherrington	saint-patrice-de-sherrington
saint-roch-de-lachigan	saint-roch-de-lachigan
sainte-angele-de-monnoir	sainte-angele-de-monnoir
lepiphanie	lepiphanie
oka	oka
sainte-marie-madeleine	sainte-marie-madeleine
saint-etienne-de-beauharnois	saint-etienne-de-beauharnois
sainte-clotilde	sainte-clotilde
vaudreuil-dorion	vaudreuil-dorion
rougemont	rougemont
saint-roch-ouest	saint-roch-ouest
saint-sulpice	saint-sulpice
lassomption	lassomption
howick	howick
mirabel	mirabel
sainte-anne-de-sabrevois	sainte-anne-de-sabrevois
saint-lin-laurentides	saint-lin-laurentides
saint-damase-les-maskoutains	saint-damase--les-maskoutains
saint-antoine-sur-richelieu	saint-antoine-sur-richelieu
saint-denis-sur-richelieu	saint-denis-sur-richelieu
tres-saint-sacrement	tres-saint-sacrement
la-presentation	la-presentation
sainte-brigide-diberville	sainte-brigide-diberville
les-cedres	les-cedres
saint-esprit	saint-esprit
saint-valentin	saint-valentin
sainte-sophie	sainte-sophie
hudson	hudson
saint-alexandre	saint-alexandre
saint-chrysostome	saint-chrysostome
hemmingford-les-jardins-de-napierville	hemmingford--les-jardins-de-napierville
saint-cesaire	saint-cesaire
saint-paul-de-lile-aux-noix	saint-paul-de-lile-aux-noix
saint-louis-de-gonzague-beauharnois-salaberry	saint-louis-de-gonzague--beauharnois-salaberry
salaberry-de-valleyfield	salaberry-de-valleyfield
saint-lazare	saint-lazare
saint-bernard-de-lacolle	saint-bernard-de-lacolle
saint-alexis	saint-alexis
sainte-marie-salome	sainte-marie-salome
lavaltrie	lavaltrie
contrecoeur	contrecoeur
henryville	henryville
saint-jerome	saint-jerome
saint-placide	saint-placide
saint-jacques	saint-jacques
hemmingford-les-jardins-de-napierville-2	hemmingford--les-jardins-de-napierville--2
saint-colomban	saint-colomban
saint-hyacinthe	saint-hyacinthe
lacolle	lacolle
saint-sebastien-le-haut-richelieu	saint-sebastien--le-haut-richelieu
saint-paul	saint-paul
saint-pie	saint-pie
havelock	havelock
sainte-sabine-brome-missisquoi	sainte-sabine--brome-missisquoi
saint-bernard-de-michaudville	saint-bernard-de-michaudville
crabtree	crabtree
coteau-du-lac	coteau-du-lac
sainte-julienne	sainte-julienne
farnham	farnham
saint-paul-dabbotsford	saint-paul-dabbotsford
saint-clet	saint-clet
saint-roch-de-richelieu	saint-roch-de-richelieu
saint-jude	saint-jude
noyan	noyan
ormstown	ormstown
ange-gardien	ange-gardien
saint-ours	saint-ours
prevost	prevost
saint-stanislas-de-kostka	saint-stanislas-de-kostka
saint-calixte	saint-calixte
saint-barnabe-sud	saint-barnabe-sud
notre-dame-de-stanbridge	notre-dame-de-stanbridge
franklin	franklin
saint-pierre	saint-pierre
saint-liguori	saint-liguori
saint-hippolyte	saint-hippolyte
venise-en-quebec	venise-en-quebec
clarenceville	clarenceville
joliette	joliette
les-coteaux	les-coteaux
saint-dominique	saint-dominique
